"Date","rides"
2023-01-01,6787
2023-01-02,7240
2023-01-03,7559
2023-01-04,7791
2023-01-05,8409
2023-01-06,6719
2023-01-07,7122
2023-01-08,5176
2023-01-09,6520
2023-01-10,7303
2023-01-11,7155
2023-01-12,6655
2023-01-13,6490
2023-01-14,4870
2023-01-15,5308
2023-01-16,6421
2023-01-17,5917
2023-01-18,8186
2023-01-19,5856
2023-01-20,7394
2023-01-21,6961
2023-01-22,4001
2023-01-23,5722
2023-01-24,7765
2023-01-25,4426
2023-01-26,7546
2023-01-27,6814
2023-01-28,8712
2023-01-29,4770
2023-01-30,7686
2023-01-31,4796
2023-02-01,6886
2023-02-02,6789
2023-02-03,4660
2023-02-04,4015
2023-02-05,6412
2023-02-06,6711
2023-02-07,7691
2023-02-08,9594
2023-02-09,9304
2023-02-10,9209
2023-02-11,8271
2023-02-12,2369
2023-02-13,7668
2023-02-14,9218
2023-02-15,9328
2023-02-16,6939
2023-02-17,5026
2023-02-18,7006
2023-02-19,8718
2023-02-20,7650
2023-02-21,8774
2023-02-22,7900
2023-02-23,11627
2023-02-24,8268
2023-02-25,5056
2023-02-26,7928
2023-02-27,5704
2023-02-28,8870
2023-03-01,9210
2023-03-02,9196
2023-03-03,4377
2023-03-04,9264
2023-03-05,10454
2023-03-06,8653
2023-03-07,8243
2023-03-08,8706
2023-03-09,9476
2023-03-10,5056
2023-03-11,7386
2023-03-12,5110
2023-03-13,6697
2023-03-14,6356
2023-03-15,7096
2023-03-16,10384
2023-03-17,9102
2023-03-18,12008
2023-03-19,5897
2023-03-20,8562
2023-03-21,11257
2023-03-22,12795
2023-03-23,14388
2023-03-24,5294
2023-03-25,7537
2023-03-26,18670
2023-03-27,10579
2023-03-28,12302
2023-03-29,12755
2023-03-30,11684
2023-03-31,11936
2023-04-01,11380
2023-04-02,12916
2023-04-03,12734
2023-04-04,15304
2023-04-05,15113
2023-04-06,12443
2023-04-07,11380
2023-04-08,12962
2023-04-09,11910
2023-04-10,12163
2023-04-11,14327
2023-04-12,15258
2023-04-13,15611
2023-04-14,14837
2023-04-15,15285
2023-04-16,14806
2023-04-17,11583
2023-04-18,13737
2023-04-19,14238
2023-04-20,14947
2023-04-21,15423
2023-04-22,10163
2023-04-23,13691
2023-04-24,12022
2023-04-25,13474
2023-04-26,13235
2023-04-27,13979
2023-04-28,2827
2023-04-29,15665
2023-04-30,5830
2023-05-01,11688
2023-05-02,10823
2023-05-03,11520
2023-05-04,13033
2023-05-05,14387
2023-05-06,16732
2023-05-07,11951
2023-05-08,12864
2023-05-09,12529
2023-05-10,15509
2023-05-11,15435
2023-05-12,15563
2023-05-13,10401
2023-05-14,15111
2023-05-15,13546
2023-05-16,13548
2023-05-17,15178
2023-05-18,14985
2023-05-19,16163
2023-05-20,15216
2023-05-21,14971
2023-05-22,13776
2023-05-23,15092
2023-05-24,15187
2023-05-25,14786
2023-05-26,15066
2023-05-27,15929
2023-05-28,13824
2023-05-29,7793
2023-05-30,13851
2023-05-31,15495
2023-06-01,15507
2023-06-02,15131
2023-06-03,16762
2023-06-04,15054
2023-06-05,13645
2023-06-06,15289
2023-06-07,14191
2023-06-08,11576
2023-06-09,14477
2023-06-10,17668
2023-06-11,15399
2023-06-12,11411
2023-06-13,15746
2023-06-14,16141
2023-06-15,16619
2023-06-16,14709
2023-06-17,16906
2023-06-18,15187
2023-06-19,14342
2023-06-20,15496
2023-06-21,6689
2023-06-22,12271
2023-06-23,9391
2023-06-24,16813
2023-06-25,15682
2023-06-26,12975
2023-06-27,12847
2023-06-28,15841
2023-06-29,13816
2023-06-30,13089
2023-07-01,13037
2023-07-02,13428
2023-07-03,14079
2023-07-04,19930
2023-07-05,13749
2023-07-06,14441
2023-07-07,14627
2023-07-08,16191
2023-07-09,13616
2023-07-10,14678
2023-07-11,15856
2023-07-12,15524
2023-07-13,15137
2023-07-14,13340
2023-07-15,16066
2023-07-16,13091
2023-07-17,14056
2023-07-18,16033
2023-07-19,15529
2023-07-20,16619
2023-07-21,16831
2023-07-22,18366
2023-07-23,15798
2023-07-24,14351
2023-07-25,14592
2023-07-26,15929
2023-07-27,14509
2023-07-28,13107
2023-07-29,13968
2023-07-30,15482
2023-07-31,14462
2023-08-01,16303
2023-08-02,16403
2023-08-03,13306
2023-08-04,15603
2023-08-05,17245
2023-08-06,12921
2023-08-07,10255
2023-08-08,16308
2023-08-09,15340
2023-08-10,13769
2023-08-11,15956
2023-08-12,16040
2023-08-13,14187
2023-08-14,11306
2023-08-15,14000
2023-08-16,16257
2023-08-17,15737
2023-08-18,15932
2023-08-19,17782
2023-08-20,14915
2023-08-21,13912
2023-08-22,16073
2023-08-23,16409
2023-08-24,15526
2023-08-25,13802
2023-08-26,16900
2023-08-27,15530
2023-08-28,13234
2023-08-29,15266
2023-08-30,16841
2023-08-31,17074
2023-09-01,16338
2023-09-02,17090
2023-09-03,15220
2023-09-04,13205
2023-09-05,14463
2023-09-06,15557
2023-09-07,15709
2023-09-08,15442
2023-09-09,13143
2023-09-10,13200
2023-09-11,14611
2023-09-12,16129
2023-09-13,17369
2023-09-14,17549
2023-09-15,16915
2023-09-16,18602
2023-09-17,12008
2023-09-18,14563
2023-09-19,16160
2023-09-20,16362
2023-09-21,16663
2023-09-22,16070
2023-09-23,3967
2023-09-24,9185
2023-09-25,12624
2023-09-26,12562
2023-09-27,17129
2023-09-28,16917
2023-09-29,16630
2023-09-30,18708
2023-10-01,17577
2023-10-02,15682
2023-10-03,17018
2023-10-04,17262
2023-10-05,16808
2023-10-06,16410
2023-10-07,14529
2023-10-08,14033
2023-10-09,12891
2023-10-10,15710
2023-10-11,16702
2023-10-12,17337
2023-10-13,17545
2023-10-14,8130
2023-10-15,13754
2023-10-16,13882
2023-10-17,15644
2023-10-18,16413
2023-10-19,17155
2023-10-20,13498
2023-10-21,17349
2023-10-22,14592
2023-10-23,14365
2023-10-24,16983
2023-10-25,17983
2023-10-26,18024
2023-10-27,18583
2023-10-28,20174
2023-10-29,17164
2023-10-30,13185
2023-10-31,14702
2023-11-01,12712
2023-11-02,13324
2023-11-03,14235
2023-11-04,18320
2023-11-05,15447
2023-11-06,13844
2023-11-07,15738
2023-11-08,15348
2023-11-09,14949
2023-11-10,8490
2023-11-11,15014
2023-11-12,11353
2023-11-13,12633
2023-11-14,14563
2023-11-15,14484
2023-11-16,15123
2023-11-17,14820
2023-11-18,13922
2023-11-19,11955
2023-11-20,10828
2023-11-21,3686
2023-11-22,9470
2023-11-23,6135
2023-11-24,7621
2023-11-25,7459
2023-11-26,5282
2023-11-27,9697
2023-11-28,9513
2023-11-29,10081
2023-11-30,12555
2023-12-01,8831
2023-12-02,13250
2023-12-03,8819
2023-12-04,11624
2023-12-05,12216
2023-12-06,11426
2023-12-07,11227
2023-12-08,12472
2023-12-09,13512
2023-12-10,4556
2023-12-11,9458
2023-12-12,11089
2023-12-13,11382
2023-12-14,10791
2023-12-15,11783
2023-12-16,12272
2023-12-17,6020
2023-12-18,9084
2023-12-19,9009
2023-12-20,9296
2023-12-21,8523
2023-12-22,7590
2023-12-23,6251
2023-12-24,4451
2023-12-25,4335
2023-12-26,3697
2023-12-27,2580
2023-12-28,7918
2023-12-29,8659
2023-12-30,7594
2023-12-31,7327
