"Date","Duration","Tempmax","Tempmin","Tempavg","Humidity","Precip","Preciptype","Cloudcover","UV","Moonphase","Conditions","Conditionsdescription","Icon"
"2023-01-01",29.8353027847355,61.34,43.52,51.8,82.2,0.101,"rain",47.7,4,0.32,"Rain, Partially cloudy","Clearing in the afternoon with morning rain.","rain"
"2023-01-02",30.0442334254144,62.96,39.92,50.9,79.3,0,"rain",87.8,4,0.35,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-03",19.0985646249504,68,50.18,59.36,78.5,0,"rain",90.8,2,0.39,"Overcast","Cloudy skies throughout the day.","cloudy"
"2023-01-04",17.5292431437984,64.94,53.42,59.54,85.4,0,"rain",85.1,2,0.42,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-05",19.7197784120189,64.04,49.64,56.3,70.4,0,NA,75.8,4,0.46,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-06",16.3694175720593,51.8,43.7,48.02,55.1,0,NA,88.5,4,0.5,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-07",21.6284821679304,50.9,37.76,43.88,50.8,0,NA,61,5,0.52,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-08",27.2430158423493,43.88,31.46,37.94,66.3,0.267,"rain",59.7,3,0.56,"Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain.","rain"
"2023-01-09",16.0137167689162,50.9,36.86,42.44,61.7,0,"rain",31.7,5,0.59,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day"
"2023-01-10",22.4720183486239,46.94,34.16,40.28,57.1,0,NA,60.5,3,0.63,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-11",19.2361472163988,46.76,32.36,39.92,72.9,0.476,"rain,freezingrain",72.8,3,0.66,"Rain, Freezing Drizzle/Freezing Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain.","rain"
"2023-01-12",16.3211419984974,55.04,40.64,47.3,84.2,3.225,"rain",95.3,3,0.69,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-01-13",17.5377401129943,54.86,39.74,48.2,68.3,6.331,"rain",83.5,5,0.73,"Rain, Partially cloudy","Partly cloudy throughout the day with rain clearing later.","rain"
"2023-01-14",23.4711327857632,39.56,31.82,35.96,58,0,"rain,snow",98.8,1,0.75,"Overcast","Cloudy skies throughout the day.","cloudy"
"2023-01-15",20.4098656116554,45.86,28.94,36.32,51.5,0,"rain,snow",17.9,5,0.79,"Clear","Clear conditions throughout the day.","clear-day"
"2023-01-16",21.2919353164097,54.86,30.38,41.72,39,0,"rain,snow",36.7,5,0.83,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-17",17.7526111205003,44.96,37.58,41.36,83.8,1.417,"rain",90.5,1,0.86,"Rain, Overcast","Cloudy skies throughout the day with rain in the morning and afternoon.","rain"
"2023-01-18",16.6546563238049,58.82,38.84,47.84,73.3,0,"rain",42.8,5,0.89,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day"
"2023-01-19",13.7872723132969,46.76,42.62,44.6,81.5,1.948,"rain",97.9,1,0.93,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-01-20",17.6300694256604,51.8,41,46.04,61.6,0,"rain",75.8,4,0.96,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-21",19.4059306613035,43.88,35.06,41.18,55.3,0,NA,78.7,1,0,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-22",18.2280679830042,42.8,33.44,37.76,83.1,5.943,"rain",89.3,1,0.03,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain"
"2023-01-23",15.7656734242106,46.94,38.84,42.08,71.8,2.188,"rain",96.2,2,0.06,"Rain, Overcast","Cloudy skies throughout the day with rain clearing later.","rain"
"2023-01-24",16.2615711526079,50.9,32.72,41.18,56.3,0,NA,62.4,5,0.1,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-25",12.7206205753879,47.12,35.6,40.82,81.6,12.065,"rain",95.8,0,0.13,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-01-26",15.8924529552081,49.64,40.64,44.96,60.6,0.022,"rain",75.2,3,0.16,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain"
"2023-01-27",16.9957807455239,45.68,32.36,39.02,50.1,0,NA,46.9,5,0.2,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-28",26.8433559075605,57.56,34.52,44.06,52.2,0,NA,59.2,5,0.25,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-29",17.0764535290007,49.82,40.64,44.78,70.1,0.885,"rain",80.2,2,0.26,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","rain"
"2023-01-30",18.2790072859745,60.98,40.82,48.56,76.6,0,NA,64.1,5,0.3,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-01-31",13.0977376980817,46.94,36.86,41.36,86.6,4.194,"rain",85.5,1,0.33,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.","rain"
"2023-02-01",14.0911656501113,40.82,32.54,35.6,59.4,1.093,"rain,snow",81.8,6,0.36,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with rain or snow clearing later.","snow"
"2023-02-02",14.1662321402268,41.72,31.28,35.96,59.2,0,NA,94.5,4,0.4,"Overcast","Cloudy skies throughout the day.","cloudy"
"2023-02-03",13.8599892703863,40.64,19.76,31.64,43.4,0,NA,54.6,6,0.43,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day"
"2023-02-04",17.7305354919054,31.82,16.88,24.44,37.9,0,NA,27.8,6,0.46,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-05",23.9757381992098,58.82,32.9,44.24,42.6,0,NA,79.7,5,0.5,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-06",14.0506904087816,54.86,38.84,47.66,55,0,NA,65,4,0.53,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-07",14.3030771897889,48.92,31.28,41.36,67.5,0,"freezingrain",66.2,4,0.57,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-08",17.6295271350149,65.66,44.24,53.24,53.1,0,NA,85.6,5,0.6,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-09",18.7656097735741,63.32,45.86,55.04,65.1,0,NA,87.9,3,0.64,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-10",19.8767093785065,64.04,48.56,57.56,51,0,NA,70.4,6,0.67,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-11",30.6692358844154,50,39.74,45.14,41.3,0,NA,80.8,6,0.7,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-12",21.4138736457014,41.72,37.76,39.56,75.6,20.454,"rain",91.3,1,0.74,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-02-13",16.5799013215093,57.56,37.22,46.76,46.8,0.573,"rain",62.2,6,0.75,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain"
"2023-02-14",15.8008534027627,59,37.22,48.02,51.3,0,NA,56.6,6,0.81,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-15",16.0237707261292,68,48.74,56.3,55.3,0.267,"rain",82.3,6,0.84,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.","rain"
"2023-02-16",16.8304871018879,62.78,46.94,54.5,86.4,3.485,"rain",90.3,2,0.88,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-02-17",14.9682318609895,62.96,35.78,51.44,75.5,17.224,"rain",88.9,1,0.91,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","rain"
"2023-02-18",23.3594252545437,46.76,28.76,36.86,45.6,0,NA,31.6,6,0.95,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-19",32.2399728531009,60.8,37.58,48.74,54,0,NA,64.6,7,0.98,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-20",21.5294444444444,57.02,47.66,52.34,69.3,0,NA,86.5,3,0,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-21",20.5051325887091,63.86,45.68,54.14,59.1,0.278,"rain",72.6,6,0.05,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain"
"2023-02-22",15.8086244725738,53.06,43.16,48.56,54,0.502,"rain",86.9,4,0.08,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.","rain"
"2023-02-23",23.1786029643646,80.6,45.68,57.02,68,0,"rain",53.3,7,0.11,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day"
"2023-02-24",23.6337102886631,65.48,41.72,54.68,35.7,0,NA,44.2,7,0.14,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day"
"2023-02-25",21.5391580959916,39.38,33.44,36.5,65.4,0.272,"rain,snow",92.2,2,0.18,"Snow, Rain, Overcast","Cloudy skies throughout the day with afternoon rain or snow.","rain"
"2023-02-26",25.9892280524722,52.88,36.86,44.24,73.2,0,"rain",67.3,7,0.21,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-02-27",16.0310863721365,51.08,37.4,45.68,64.6,4.138,"rain",80.9,5,0.25,"Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain.","rain"
"2023-02-28",18.0471702367531,62.78,40.82,48.74,74.4,2.727,"rain",70.5,7,0.28,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain"
"2023-03-01",17.8617806731813,56.12,38.84,48.2,74.8,0,"rain",40.7,7,0.31,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-02",17.0122281426707,65.84,47.84,55.22,69.3,1.317,"rain",86.1,4,0.34,"Rain, Partially cloudy","Partly cloudy throughout the day with rain clearing later.","rain"
"2023-03-03",15.1163125428376,51.8,40.82,45.32,73.2,5.547,"rain",90.6,1,0.37,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-03-04",25.6694012665515,57.74,40.82,49.28,60.3,1.873,"rain",53.7,7,0.41,"Rain, Partially cloudy","Clearing in the afternoon with early morning rain.","rain"
"2023-03-05",32.3616908998151,64.76,37.04,50.36,52.9,0,NA,20.7,7,0.44,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-06",19.4275126160484,57.92,39.92,48.56,50.9,0,NA,53.6,7,0.47,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-07",17.8774677504145,54.86,41.9,46.76,46.6,0,NA,46.5,7,0.5,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day"
"2023-03-08",18.6792633432882,52.88,34.88,43.7,40.3,0,NA,15.3,7,0.54,"Clear","Clear conditions throughout the day.","clear-day"
"2023-03-09",27.6360999718587,55.76,36.86,45.86,49.2,0,NA,35.5,7,0.58,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-10",19.9153250263713,46.04,40.82,43.7,75.7,3.798,"rain",90.4,2,0.61,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-03-11",23.4687133315281,47.66,38.66,42.62,53.3,0,NA,92.8,5,0.65,"Overcast","Cloudy skies throughout the day.","cloudy"
"2023-03-12",25.548871493803,41.9,32.9,37.58,72.5,0.579,"rain",75.8,2,0.68,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain"
"2023-03-13",18.8151809267831,49.82,38.66,43.16,78.9,1.094,"rain",96.2,3,0.72,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","rain"
"2023-03-14",15.8540434235368,42.98,33.8,38.48,43.4,0,NA,48,7,0.75,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-15",16.6335893461105,51.8,32.9,41.18,36.9,0,NA,21.7,8,0.79,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-16",30.2784106959425,64.04,34.7,48.92,32.1,0,NA,54.8,8,0.82,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-17",22.3919504870724,61.88,48.92,55.22,53.1,0.296,"rain",91.6,2,0.86,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","rain"
"2023-03-18",34.6336400732845,55.94,41.9,47.84,42,0.354,"rain",77,8,0.89,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain"
"2023-03-19",26.1585580238539,43.88,28.94,37.04,32.3,0,NA,35.7,8,0.93,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-20",22.9034999610683,51.98,29.12,40.46,37.1,0,NA,19.9,8,0.96,"Clear","Clear conditions throughout the day.","clear-day"
"2023-03-21",20.7550131769862,62.96,33.44,47.48,43.4,0,NA,50.9,7,0,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day"
"2023-03-22",23.7697707437801,66.74,47.66,55.58,40.7,0,NA,84.1,7,0.03,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-23",28.3748401445649,82.76,51.08,64.04,60.8,0,NA,81.2,6,0.06,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-24",17.5894062460647,68.9,42.98,55.22,80.9,18.302,"rain",98,1,0.1,"Rain, Overcast","Cloudy skies throughout the day with rain.","rain"
"2023-03-25",23.4672150723099,53.06,44.06,47.48,90.7,3.951,"rain",100,3,0.13,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","rain"
"2023-03-26",38.9442983395822,69.8,47.84,57.74,50.5,0,NA,28.7,8,0.16,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
"2023-03-27",22.1565633172638,60.8,46.76,54.32,75.5,0.511,"rain",70.9,3,0.19,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","rain"
"2023-03-28",22.4894312577901,59.9,46.22,52.7,57.5,0,NA,63.8,7,0.25,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day"
